w_no,w_name,w_area,bu_2000,bu_2022,buchg_abs,buchg_per,ndvi_2000,ndvi_2022,ndvichg_abs,ndvichg_per,slp_min,slp_max,slp_rng,slp_mean,elv-min,elv_max,elv_rng,elv_mean,tot_p,tot_m,tot_f,Latitude,Longitude,TS_2000,QV2M_2000,PRECTOTCORR_2000,WS10M_MAX_2000,WS50M_MAX_2000,TS_2022,QV2M_2022,PRECTOTCORR_2022,WS10M_MAX_2022,WS50M_MAX_2022
75,Red Hills,1.92,1.44,1.47,0.02,1.17,0.14,0.06,0.11,5.89,0,12.24,12.24,3.21,502,545,43,523.28,34868,17851,17017,16.675,77.7167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
76,Mallepally,0.94,0.94,0.94,0,0.03,0,0,0,0.19,0,6.26,6.26,2.04,502,523,21,511.55,27280,13864,13416,16.6667,77.7083,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
77,Jambagh (Nampally),2.07,1.8,1.94,0.14,6.75,0,0,-0.14,-6.71,0,8.53,8.53,2.41,493,518,25,504.49,40798,20788,20010,16.6583,77.7,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
78,Gunfoundry (Abids),3.21,2.44,2.52,0.08,2.41,0.1,0,0.02,0.76,0,24.8,24.8,3.39,488,563,75,514.06,22309,11134,11175,16.65,77.6917,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
79,Himayat Nagar,1.99,1.88,1.9,0.02,0.77,0,0,-0.01,-0.73,0,9.13,9.13,2.64,489,526,37,509.98,31267,15861,15406,16.6417,77.6833,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
80,Kachiguda (Barkathpura),1.47,1.41,1.41,0,0.09,0.01,0,0.01,0.61,0,7.39,7.39,2.48,486,511,25,499.12,40354,20406,19948,16.625,77.6667,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
81,Nallakunta,1.4,1.35,1.35,0,0.11,0,0,0.08,5.41,0,8.16,8.16,2.22,482,521,39,496.69,30388,15225,15163,16.6167,77.6583,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
82,Golnaka,1.49,1.28,1.28,0,0.12,0.12,0.01,0.13,8.46,0,7.94,7.94,2.36,478,497,19,487.93,37320,19029,18291,16.6083,77.65,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
83,Amberpet,1.68,1.39,1.4,0.01,0.49,0.09,0.06,0.38,22.36,0,9.37,9.37,2.17,477,501,24,490.33,26762,13407,13355,16.6,77.6417,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
84,Bagh Amberpet,1.58,1.48,1.49,0.01,0.5,0.01,0,0.07,4.73,0,7.5,7.5,2.28,488,524,36,502.17,41720,21375,20345,16.5917,77.6333,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
85,Adikmet,1.14,1.05,1.11,0.06,5.07,0,0,-0.06,-5.07,0,8.68,8.68,2.29,493,517,24,504.78,24826,12566,12260,16.5833,77.625,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
86,Musheerabad,0.85,0.82,0.82,0,0.2,0,0,0.06,7.5,0,10.51,10.51,2.38,504,530,26,515.68,27719,13980,13739,16.575,77.6167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
87,Ramnagar,1.74,1.42,1.57,0.14,8.31,0.04,0,-0.11,-6.25,0,7.84,7.84,2.16,489,526,37,505.95,32531,16412,16119,16.5667,77.6083,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
88,Bholakpur,1.01,0.99,0.99,0,0.11,0.01,0,0.03,2.58,0,9.02,9.02,2.23,504,529,25,515.1,36526,18482,18044,16.5583,77.6,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
89,Gandhinagar,1.36,1.33,1.34,0.01,0.41,0.01,0,0.05,3.37,0,11.54,11.54,2.55,490,522,32,505.1,34664,17535,17129,16.55,77.5917,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
90,Kavadiguda,2.07,1.33,1.34,0,0.03,0.34,0.19,0.5,24.41,0,11.42,11.42,2.83,494,527,33,509.98,34899,17690,17209,16.5333,77.575,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
91,Khairtabad,8.89,3.16,3.17,0.01,0.08,0.41,0.13,0.64,7.18,0,18.21,18.21,2.04,507,569,62,520.76,28426,14584,13842,16.525,77.5667,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
92,Venkateshwara Colony,4.85,2.71,2.71,0,0.02,0.11,0.12,0.1,2.15,0,18.92,18.92,4.27,529,619,90,582.51,31697,16384,15313,16.5167,77.5583,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
93,Banjara Hills,3.49,3,3.09,0.08,2.37,0,0.01,-0.08,-2.27,0,26.51,26.51,5.34,522,604,82,569.01,26593,13166,13427,16.5083,77.55,26.5087,12.1231,2.5533,5.4399,7.4488,26.4012,13.5143,2.6465,5.272,7.2999
94,Shaikpet,4.4,2.35,4.04,1.69,38.32,0.45,0.01,-1.23,-28.05,0,14.8,14.8,3.06,524,577,53,543.36,28887,14539,14348,16.5,77.5417,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
95,Jubilee Hills,8.9,6.98,7.16,0.17,1.95,0.12,0.09,-0.05,-0.61,0,27.58,27.58,5.41,539,637,98,591.52,32690,16413,16277,16.4917,77.5333,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
96,Yousufguda,1.94,1.69,1.69,0,0.05,0.02,0.01,0.32,16.39,0,17.23,17.23,3.18,540,610,70,561.33,28768,14846,13922,16.4833,77.525,26.3807,11.606,2.6061,5.4767,7.5787,26.4317,13.1285,2.5557,5.3122,7.4277
97,Somajiguda,2.3,2.04,2.09,0.04,1.84,0.04,0.01,-0.01,-0.31,0,14.55,14.55,2.9,514,557,43,537.16,35780,18227,17553,16.475,77.5167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
98,Ameerpet,2.42,2.08,2.08,0,0.05,0.12,0.05,0.15,6.24,0,15.86,15.86,2.67,514,555,41,536.97,26569,13395,13174,16.4667,77.5167,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
99,Vengal Rao Nagar,2.25,1.92,1.92,0,0.19,0.03,0.03,0.35,15.38,0,10.46,10.46,2.5,538,574,36,553.49,20958,10508,10450,16.4583,77.5083,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
100,Sanath Nagar,2.54,1.6,2.28,0.68,26.98,0.04,0.01,-0.65,-25.52,0,8.73,8.73,2.19,533,561,28,547.62,38112,19268,18844,17.425,78.4764,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
101,Erragadda,1.52,1.2,1.28,0.08,5.39,0.03,0.04,-0.05,-3.32,0,8.63,8.63,2.53,546,575,29,559.7,28195,14314,13881,17.4083,78.485,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
102,Rahamath Nagar,1.02,0.97,0.97,0,0.07,0,0,0.02,2.12,0,12.01,12.01,3.8,549,608,59,572.25,42054,21324,20730,17.4,78.4917,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
103,Borabanda,0.94,0.9,0.93,0.02,2.59,0,0,-0.02,-2.59,0,10.64,10.64,3.15,555,596,41,571.65,54039,27560,26479,17.3833,78.4917,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
104,Kondapur,14.62,4.06,11.36,7.3,49.96,0.28,0.07,-7.03,-48.07,0,27.65,27.65,3.89,542,629,87,587.88,30701,15341,15360,17.4417,78.4167,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
105,Gachibowli,49.95,8.06,21.17,13.11,26.26,3.45,1.86,-9.66,-19.34,0,24.9,24.9,3.02,520,633,113,579.44,69177,35124,34053,17.425,78.3917,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
106,Serilingampally,11.3,2.35,7.8,5.45,48.28,0.72,0.53,-4.73,-41.87,0,11.75,11.75,2.63,551,621,70,585.82,43270,22667,20603,17.4167,78.375,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
107,Madhapur,10.88,2.22,9.05,6.82,62.75,0.16,0.03,-6.67,-61.28,0,15.41,15.41,2.81,558,610,52,582.57,60103,31403,28700,17.4083,78.3667,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
108,Miyapur,8.2,2.24,5.54,3.3,40.27,0.72,0.17,-2.58,-31.48,0,11.81,11.81,2.79,558,619,61,584.54,40905,21143,19762,17.3833,78.3583,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
109,Hafeezpet,3.98,2.15,3.67,1.52,38.1,0.26,0.01,-1.25,-31.45,0,12.16,12.16,2.45,556,592,36,574.55,51014,26031,24983,17.3667,78.35,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
110,Chandanagar,6.54,2.25,5.23,2.98,45.5,1.15,0.26,-1.82,-27.89,0,11.86,11.86,2.5,544,596,52,563.56,39937,20415,19522,17.3333,78.3333,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
111,Bharathi Nagar,2.08,1.71,1.91,0.19,9.35,0.01,0.02,-0.19,-8.91,0,8.82,8.82,2.29,544,579,35,560.63,54122,28831,25291,17.3167,78.325,24.2854,12.7086,2.7339,6.1072,8.2052,23.965,13.7895,4.1937,5.6041,7.5873
112,Ramachandrapuram,2.4,1.57,2.1,0.53,22.1,0.52,0.11,-0.01,-0.41,0,9.28,9.28,2.34,537,559,22,548.5,93141,48202,44939,17.3,78.3167,28.2909,15.8458,2.3661,5.0633,6.8411,27.5392,16.7459,3.7958,4.8301,6.5872
113,Patancheruvu,15.07,5.53,7.13,1.6,10.61,4.42,0.8,2.82,18.7,0,10.54,10.54,2.41,518,560,42,533.51,78284,40768,37516,17.2833,78.3083,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
114,K.P.H.B. Colony,6.2,1.99,4.46,2.48,39.97,0.05,0,-2.42,-39.13,0,12.16,12.16,2.79,566,614,48,587.29,83773,42755,41018,17.2667,78.3,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
115,Balaji Nagar,8.77,3.57,3.83,0.25,2.89,1.32,0.3,1.07,12.17,0,16.89,16.89,2.64,539,593,54,564.11,70187,35606,34581,17.25,78.2917,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
116,Allapur,3.29,1.59,2.66,1.06,32.37,0.28,0.02,-0.79,-23.89,0,12.66,12.66,2.61,542,584,42,563.94,46255,23971,22284,17.2333,78.2833,25.5048,9.7169,2.3194,4.6133,6.8771,25.6316,11.124,2.2966,4.675,6.5532
117,Moosapet,1.93,1.66,1.74,0.08,4.23,0.01,0,-0.07,-3.81,0,12.94,12.94,2.26,543,575,32,554.69,69083,35402,33681,17.2167,78.275,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
118,Fateh Nagar,3.34,1.98,2.57,0.58,17.45,0.11,0,-0.47,-14.03,0,8.13,8.13,2.08,526,555,29,542.09,52236,26782,25454,17.2,78.2667,26.6052,8.0967,1.3456,4.8272,7.0587,25.6507,10.6172,2.1831,4.6041,6.4418
119,Old Bowenpally,3.15,2.07,2.85,0.78,24.78,0.24,0,-0.54,-17.03,0,9.67,9.67,2.45,533,562,29,546.82,83665,43211,40454,17.1833,78.2583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
120,Bala Nagar,7.27,1.92,2,0.08,1.11,1.84,1.3,1.76,24.18,0,10.02,10.02,2.46,531,570,39,549.79,41373,21321,20052,17.15,78.2417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
121,Kukatpally,3.28,2.26,3.18,0.92,28.01,0.56,0.03,-0.36,-10.96,0,8.37,8.37,2.34,543,572,29,555.74,71076,36483,34593,17.1333,78.2333,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
122,Vivekananda Nagar Colony,1.58,1.42,1.57,0.15,9.44,0.05,0,-0.1,-6.37,0,14.25,14.25,2.36,551,593,42,568.4,45374,23352,22022,17.1167,78.225,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
123,Hyder Nagar,3.51,1.41,2.85,1.45,41.13,0.16,0,-1.29,-36.6,0,13.35,13.35,2.98,569,614,45,592.8,67730,34758,32972,17.1,78.2167,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
124,Allywn Colony,2.67,1.47,2.55,1.08,40.44,0.63,0,-0.45,-16.94,0,23.69,23.69,2.76,540,590,50,572.13,87393,44864,42529,17.0833,78.2083,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
125,Gajularamaram,10.77,3.67,7.84,4.17,38.7,0.44,0.24,-3.73,-34.64,0,16.27,16.27,3.17,562,627,65,591.35,58278,29983,28295,17.0667,78.2,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
126,Jagathgiri Gutta,2.37,1.97,2.17,0.2,8.3,0.01,0.04,-0.19,-8.07,0,14.03,14.03,3.49,560,610,50,577.46,56774,29244,27530,17.05,78.1917,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
127,Rangareddy Nagar,2.61,1.75,2.13,0.38,14.6,0.04,0.13,-0.34,-13.08,0,13.51,13.51,2.47,547,580,33,562.03,48437,25143,23294,17.0333,78.1833,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
128,Chintal,4.31,1.45,1.5,0.05,1.11,0.08,1.57,0.04,0.81,0,13.76,13.76,2.77,544,592,48,563.42,55187,28559,26628,17.0167,78.175,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
129,Suraram,8.33,2.57,4.26,1.69,20.34,0.25,0.07,-1.44,-17.3,0,15.01,15.01,3.04,566,634,68,595.71,52956,27112,25844,17,78.1667,26.4491,11.6372,2.607,5.4904,7.5972,26.4379,13.1235,2.5557,5.3055,7.4229
130,Subhash Nagar,8.51,3.7,6.88,3.18,37.32,0.08,0.23,-3.1,-36.43,0,14.55,14.55,2.53,550,610,60,576.8,67032,34451,32581,16.9667,78.15,26.6052,8.0967,1.3456,4.8272,7.0587,25.6507,10.6172,2.1831,4.6041,6.4418
131,Quthbullapur,3.76,2.02,2.35,0.33,8.74,0.25,0.66,-0.08,-2.18,0,13.08,13.08,2.35,540,577,37,554.11,44990,22944,22046,16.95,78.1417,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
132,Jeedimetla,8.74,3.1,6.19,3.09,35.35,0.77,1.29,-2.32,-26.58,0,11.14,11.14,2.44,546,606,60,567.55,62237,31326,30911,17.3958,78.4389,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
133,Machabolarum,12.55,3.37,9.33,5.96,47.54,2.36,1.61,-3.6,-28.72,0,13.58,13.58,2.61,565,619,54,588,57310,28949,28361,17.3833,78.425,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
134,Alwal,3.3,2.16,2.91,0.75,22.71,0.42,0.14,-0.33,-9.99,0,8.27,8.27,2.34,552,585,33,569.21,42870,21394,21476,17.375,78.4167,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
135,Venkatapuram,2.92,2.1,2.71,0.62,21.13,0.24,0.01,-0.37,-12.8,0,8.66,8.66,2.3,541,573,32,556.39,51033,25438,25595,17.3667,78.4083,28.398,16.5304,2.8384,5.3243,7.046,28.1277,17.1441,3.4105,5.1987,6.8997
136,Neredmet,7.37,3.85,6.07,2.22,30.11,1.46,0.44,-0.76,-10.34,0,9.77,9.77,2.56,543,589,46,566.25,61858,31189,30669,17.3583,78.4,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
137,Vinayak Nagar,1.94,1.6,1.73,0.13,6.48,0.19,0.12,0.07,3.38,0,9.95,9.95,2.58,525,570,45,545.93,54205,27347,26858,17.35,78.3917,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
138,Moula Ali,3.55,2.93,3.33,0.4,11.12,0.22,0.03,-0.17,-4.81,0,38.63,38.63,4.35,526,625,99,551.33,48990,24581,24409,17.3417,78.3833,26.5764,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
139,East Anand Bagh,4.4,2.45,2.74,0.29,6.65,0.5,0.32,0.21,4.75,0,22.98,22.98,2.66,512,578,66,531.48,51642,26223,25419,17.3333,78.375,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
140,Malkajgiri,2.52,2.31,2.31,0,0.04,0.23,0.09,0.23,9.12,0,16.48,16.48,2.46,518,563,45,539.91,52831,26365,26466,17.3167,78.3583,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
141,Gautham Nagar,2.04,1.9,1.91,0.01,0.53,0.01,0,0,0,0,28,28,3.32,520,595,75,539.07,33742,16926,16816,17.3083,78.35,26.2103,8.6242,1.751,4.8098,7.1191,25.6821,10.6849,2.1689,4.6648,6.5845
142,Addagutta,2.1,1.51,1.51,0,0.16,0.05,0.1,0.24,11.29,0,14.88,14.88,3.06,521,567,46,539.59,24089,12253,11836,17.3,78.3417,26.4491,11.6372,2.607,5.4904,7.5972,26.438,13.1235,2.5557,5.3055,7.4229
143,Tarnaka,2.41,1.84,1.84,0,0.2,0.49,0.19,0.49,20.25,0,8.61,8.61,2.42,504,536,32,519.41,52527,26748,25779,17.2917,78.3333,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
144,Mettuguda,3.28,1.49,1.52,0.03,0.96,0.8,0.18,0.77,23.43,0,10.45,10.45,2.64,519,556,37,535,34190,17184,17006,17.2833,78.325,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
145,Seethaphal Mandi,1.08,1.08,1.08,0,0.09,0,0,0,0.08,0,7.39,7.39,2.29,510,532,22,520.99,34659,16654,18005,17.275,78.3167,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
146,Boudha Nagar,0.83,0.83,0.83,0,0.11,0,0,0,-0.11,0,6.92,6.92,2.1,505,525,20,513.02,29920,15171,14749,17.2667,78.3083,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
147,Bansilalpet,2.07,1.85,1.87,0.02,0.91,0.07,0,0.05,2.3,0,10.91,10.91,2.75,517,546,29,529.98,41336,21092,20244,17.2583,78.3,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
148,Ramgopalpet,1.67,1.33,1.42,0.09,5.35,0,0.01,-0.09,-5.24,0,11.49,11.49,2.44,512,537,25,526.17,51326,26059,25267,17.25,78.2917,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
149,Begumpet,5.59,3.11,3.12,0.01,0.11,0.67,0.47,0.82,14.74,0,22.61,22.61,3.01,491,555,64,527.86,31948,15796,16152,17.2417,78.2833,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
150,Monda Market,2.6,2.21,2.35,0.13,5.03,0,0,-0.13,-4.99,0,13.06,13.06,2.54,528,571,43,545.4,29932,14812,15120,17.225,78.2667,26.5765,12.1546,2.5542,5.4532,7.4686,26.4064,13.5101,2.6465,5.2672,7.2976
,,610.1,293.45,425.21,131.76,,61.74,34.03,-65.91,-10.8,,,,,,,,,,,,,,,,,,,,,,,
